URL,Fiyat,Oda Sayısı,Brüt m2,Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,İlan No
https://www.hepsiemlak.com/antalya-kepez-fevzi-cakmak-satilik/daire/162578-88,7.450.000 TL,3 + 1,130 m2,6 Katlı,3. Kat,1 Yaşında,Klima,162578-88
https://www.hepsiemlak.com/antalya-kepez-kuzeyyaka-satilik/daire/129227-319,2.250.000 TL,1 + 1,55 m2,3 Katlı,Yüksek Giriş,1 Yaşında,Isıtma Yok,129227-319
https://www.hepsiemlak.com/antalya-kepez-aydogmus-satilik/daire/139359-886,3.150.000 TL,2 + 1,90 m2,2 Katlı,Ara Kat,Sıfır Bina,Klima,139359-886
https://www.hepsiemlak.com/antalya-konyaalti-hurma-satilik/daire/33100-9002,6.600.000 TL,2 + 1,120 m2,4 Katlı,4. Kat,7 Yaşında,Klima,33100-9002
https://www.hepsiemlak.com/antalya-kepez-kepez-satilik/daire/120585-747,4.050.000 TL,2 + 1,94 m2,11 Katlı,1. Kat,1 Yaşında,Merkezi (Pay Öl...,120585-747
https://www.hepsiemlak.com/antalya-konyaalti-hurma-satilik/daire/147879-178,12.500.000 TL,3 + 1,160 m2,4 Katlı,3. Kat,11 Yaşında,Klima,147879-178
https://www.hepsiemlak.com/antalya-kepez-gunes-satilik/daire/86971-1249,6.500.000 TL,6 + 1,300 m2,6 Katlı,6. Kat,7 Yaşında,Klima,86971-1249
https://www.hepsiemlak.com/antalya-muratpasa-guzeloba-satilik/daire/74238-11242,10.500.000 TL,4 + 1,180 m2,3 Katlı,2. Kat,15 Yaşında,Klima,74238-11242
https://www.hepsiemlak.com/antalya-konyaalti-hurma-satilik/daire/53381-6430,9.400.000 TL,4 + 1,155 m2,4 Katlı,4. Kat,16 Yaşında,Klima,53381-6430
https://www.hepsiemlak.com/antalya-kepez-varsak-karsiyaka-satilik/daire/137683-425,2.150.000 TL,1 + 1,55 m2,2 Katlı,Giriş Katı,1 Yaşında,Klima,137683-425
https://www.hepsiemlak.com/antalya-kepez-sutculer-satilik/daire/113801-604,3.700.000 TL,2 + 1,95 m2,12 Katlı,12. Kat,11 Yaşında,Güneş Enerjisi,113801-604
https://www.hepsiemlak.com/antalya-kepez-kutukcu-satilik/daire/129740-2497,2.649.000 TL,1 + 1,60 m2,3 Katlı,Ara Kat,Sıfır Bina,Klima,129740-2497
https://www.hepsiemlak.com/antalya-muratpasa-guzeloba-satilik/daire/24814-3448,9.900.000 TL,4 + 1,230 m2,2 Katlı,2. Kat,11 Yaşında,Klima,24814-3448
https://www.hepsiemlak.com/antalya-muratpasa-guvenlik-satilik/daire/73389-2921,7.190.000 TL,5 + 1,200 m2,4 Katlı,4. Kat,Sıfır Bina,Klima,73389-2921
https://www.hepsiemlak.com/antalya-muratpasa-meydankavagi-satilik/daire/5779-9296,12.500.000 TL,4 + 1,180 m2,10 Katlı,3. Kat,3 Yaşında,Kombi,5779-9296
https://www.hepsiemlak.com/antalya-muratpasa-altindag-satilik/daire/70063-650,4.100.000 TL,3 + 1,120 m2,4 Katlı,Ara Kat,35 Yaşında,Klima,70063-650
https://www.hepsiemlak.com/antalya-muratpasa-kiziltoprak-satilik/daire/123766-839,7.500.000 TL,3 + 1,150 m2,9 Katlı,1. Kat,16 Yaşında,Kombi,123766-839
https://www.hepsiemlak.com/antalya-kepez-ayanoglu-satilik/daire/91299-1686,2.650.000 TL,2 + 1,75 m2,3 Katlı,1. Kat,Sıfır Bina,Klima,91299-1686
https://www.hepsiemlak.com/antalya-kepez-aktoprak-satilik/daire/152220-102,3.270.000 TL,2 + 1,110 m2,4 Katlı,4. Kat,Sıfır Bina,Klima,152220-102
https://www.hepsiemlak.com/antalya-muratpasa-demircikara-satilik/daire/28488-5356,14.000.000 TL,3 + 1,160 m2,4 Katlı,2. Kat,16 Yaşında,Klima,28488-5356
https://www.hepsiemlak.com/antalya-kepez-selale-satilik/daire/45391-2946,4.250.000 TL,2 + 1,110 m2,4 Katlı,1. Kat,Sıfır Bina,Klima,45391-2946
